"time","summary","icon","sunriseTime","sunsetTime","moonPhase","precipIntensity","precipIntensityMax","precipIntensityMaxTime","precipProbability","precipType","temperatureHigh","temperatureHighTime","temperatureLow","temperatureLowTime","apparentTemperatureHigh","apparentTemperatureHighTime","apparentTemperatureLow","apparentTemperatureLowTime","dewPoint","humidity","pressure","windSpeed","windGust","windGustTime","windBearing","cloudCover","uvIndex","uvIndexTime","visibility","ozone","temperatureMin","temperatureMinTime","temperatureMax","temperatureMaxTime","apparentTemperatureMin","apparentTemperatureMinTime","apparentTemperatureMax","apparentTemperatureMaxTime","country","province","date","precipAccumulation"
1581004800,"Overcast throughout the day.","rain",1581029460,1581069360,0.43,0.0799,0.9262,1581004800,0.8,"rain",13.24,1581058080,6.21,1581118800,12.96,1581058080,6.48,1581118800,8.38,0.94,1025,0.93,2.46,1581060720,359,0.95,4,1581049800,13.484,267.1,7.43,1581029700,13.24,1581058080,7.7,1581029700,12.96,1581058080,"China","Fujian",2020-02-07,NA
1581091200,"Mostly cloudy throughout the day.","partly-cloudy-day",1581115800,1581155820,0.47,0.0142,0.0731,1581162540,0.11,"rain",13.89,1581137940,5.19,1581204420,13.61,1581137940,5.46,1581204420,6.84,0.87,1027.6,1.1,3.91,1581152340,357,0.68,6,1581136080,16.093,267.3,6.21,1581118800,13.89,1581137940,6.48,1581118800,13.61,1581137940,"China","Fujian",2020-02-08,NA
1581177600,"Partly cloudy throughout the day.","partly-cloudy-day",1581202200,1581242280,0.51,0.0063,0.0307,1581184620,0.14,"rain",14.68,1581230640,3.15,1581285300,14.4,1581230640,3.42,1581285300,5.21,0.81,1028.2,0.97,2.96,1581237120,349,0.46,6,1581222420,16.093,263.6,5.19,1581204420,14.68,1581230640,5.46,1581204420,14.4,1581230640,"China","Fujian",2020-02-09,NA
1581264000,"Clear throughout the day.","clear-day",1581288540,1581328680,0.55,0.0042,0.0094,1581328800,0.08,"rain",18.36,1581317760,7.33,1581372240,18.08,1581317760,7.6,1581372240,5.42,0.76,1024.5,0.73,2.41,1581323700,112,0.11,7,1581308400,16.093,267.2,3.15,1581285300,18.36,1581317760,3.42,1581285300,18.08,1581317760,"China","Fujian",2020-02-10,NA
1581350400,"Possible drizzle overnight.","partly-cloudy-day",1581374880,1581415140,0.59,0.0044,0.027,1581411720,0.14,"rain",19.54,1581397320,12.37,1581442920,19.26,1581397320,12.64,1581442920,9.25,0.8,1021.5,0.88,4.17,1581397200,172,0.83,5,1581396240,16.093,270.8,7.33,1581372240,19.54,1581397320,7.6,1581372240,19.26,1581397320,"China","Fujian",2020-02-11,NA
1581436800,"Light rain until evening.","rain",1581461280,1581501600,0.62,0.2716,0.6753,1581455820,0.83,"rain",18.55,1581483900,12.64,1581546420,18.42,1581483900,13.03,1581546240,14.24,0.97,1018.8,0.81,3.42,1581487320,200,0.48,5,1581482640,14.777,265.4,12.37,1581442920,18.55,1581483900,12.64,1581442920,18.42,1581483900,"China","Fujian",2020-02-12,NA
1581523200,"Rain until evening.","rain",1581547620,1581588000,0.66,0.5247,3.061,1581574320,0.84,"rain",18.57,1581566820,11.03,1581630780,18.5,1581567180,11.3,1581630780,14.4,0.99,1016.6,0.84,2.43,1581566460,193,0.57,5,1581567900,14.948,265.6,12.64,1581546420,18.57,1581566820,13.03,1581606000,18.5,1581567180,"China","Fujian",2020-02-13,NA
1581609600,"Rain in the afternoon and evening.","rain",1581633960,1581674460,0.7,0.5805,2.8857,1581660900,0.88,"rain",17.17,1581652860,13.37,1581722940,17,1581653220,13.84,1581720420,13.63,0.99,1016.4,0.7,2.21,1581660600,143,0.85,4,1581654000,14.03,279,11.03,1581630780,17.17,1581652860,11.3,1581630780,17,1581653220,"China","Fujian",2020-02-14,NA
1581696000,"Rain throughout the day.","rain",1581720300,1581760920,0.74,0.622,2.7352,1581771540,0.91,"rain",20.17,1581743220,2.89,1581810780,20.15,1581743160,1.54,1581810600,15.1,0.98,1016.2,1.1,4.21,1581778140,205,0.99,4,1581740580,15.02,269.5,10.18,1581778800,20.17,1581743220,10.45,1581778800,20.15,1581743160,"China","Fujian",2020-02-15,NA
1581782400,"Possible light rain in the morning.","rain",1581806700,1581847320,0.77,0.2545,1.3671,1581782400,0.85,"rain",4.63,1581822360,-0.34,1581889440,3.77,1581850800,-0.07,1581889440,3.02,0.91,1026,1.66,4.64,1581800400,337,0.87,5,1581826620,16.093,261.1,1.83,1581865200,9.16,1581782400,1.48,1581860280,7.35,1581782400,"China","Fujian",2020-02-16,NA
1581868800,"Clear throughout the day.","clear-day",1581893040,1581933780,0.8,0.0019,0.0075,1581935400,0.03,"rain",9.45,1581916200,-1.32,1581976080,8.06,1581916020,-1.05,1581976080,-1.96,0.68,1030.2,1.44,4.43,1581923280,350,0,8,1581913260,16.093,261.3,-0.34,1581889440,9.45,1581916200,-0.07,1581889440,8.06,1581916020,"China","Fujian",2020-02-17,NA
1581955200,"Clear throughout the day.","clear-day",1581979380,1582020240,0.84,0.004,0.0095,1582005960,0.06,"rain",12.79,1582002300,0.55,1582062060,12.51,1582002300,0.82,1582062060,-1.81,0.63,1029.6,0.71,1.71,1582016880,30,0,8,1581999720,16.093,259.4,-1.32,1581976080,12.79,1582002300,-1.05,1581976080,12.51,1582002300,"China","Fujian",2020-02-18,NA
1582041600,"Partly cloudy throughout the day.","clear-day",1582065720,1582106640,0.87,0.0025,0.0107,1582053900,0.05,"rain",15.72,1582088520,3.76,1582149360,15.44,1582088520,4.03,1582149360,1.68,0.7,1027,0.64,1.61,1582111380,91,0.27,7,1582085820,16.093,259.9,0.55,1582062060,15.72,1582088520,0.82,1582062060,15.44,1582088520,"China","Fujian",2020-02-19,NA
1582128000,"Clear throughout the day.","clear-day",1582152120,1582193100,0.9,0.0023,0.0096,1582194900,0.04,"rain",19.51,1582181220,5.74,1582235700,19.23,1582181220,6.01,1582235700,4.22,0.67,1027.2,0.74,2.08,1582189260,73,0.2,8,1582172520,16.093,261.2,3.76,1582149360,19.51,1582181220,4.03,1582149360,19.23,1582181220,"China","Fujian",2020-02-20,NA
1582214400,"Clear throughout the day.","clear-day",1582238460,1582279560,0.93,0.0034,0.0085,1582265460,0.07,"rain",22.55,1582267380,9.26,1582322400,22.27,1582267380,9.53,1582322400,8.25,0.75,1028.2,0.59,1.62,1582247520,102,0.06,8,1582258980,16.093,261.6,5.74,1582235700,22.55,1582267380,6.01,1582235700,22.27,1582267380,"China","Fujian",2020-02-21,NA
1582300800,"Partly cloudy throughout the day.","partly-cloudy-day",1582324800,1582365960,0.97,0.0086,0.0364,1582367400,0.08,"rain",21.54,1582354260,8.4,1582409880,21.26,1582354260,8.67,1582409880,10.1,0.77,1027.8,0.88,2.56,1582362300,19,0.36,7,1582344720,16.093,261.3,9.26,1582322400,21.54,1582354260,9.53,1582322400,21.26,1582354260,"China","Fujian",2020-02-22,NA
1582387200,"Clear throughout the day.","clear-day",1582411140,1582452420,1,0.0038,0.0087,1582414620,0.08,"rain",21.71,1582440480,8.28,1582493760,21.43,1582440480,8.55,1582493760,8.05,0.68,1026.6,1.04,2.86,1582394460,86,0.18,9,1582431660,16.093,263.2,8.4,1582409880,21.71,1582440480,8.67,1582409880,21.43,1582440480,"China","Fujian",2020-02-23,NA
1582473600,"Clear throughout the day.","clear-day",1582497480,1582538820,0.03,0.0013,0.0073,1582524180,0.03,"rain",24.4,1582527420,11.87,1582580760,24.12,1582527420,12.14,1582580760,9.7,0.7,1021.1,0.85,4.94,1582525620,165,0.28,8,1582518360,16.093,268.2,8.28,1582493760,24.4,1582527420,8.55,1582493760,24.12,1582527420,"China","Fujian",2020-02-24,NA
1582560000,"Clear throughout the day.","clear-day",1582583820,1582625280,0.06,0.003,0.011,1582606560,0.06,"rain",25.34,1582613520,12.76,1582666680,25.06,1582613520,13.03,1582666680,12.47,0.75,1018.2,0.95,3.71,1582600680,236,0.27,8,1582603620,16.093,284,11.87,1582580760,25.34,1582613520,12.14,1582580760,25.06,1582613520,"China","Fujian",2020-02-25,NA
1582646400,"Clear throughout the day.","partly-cloudy-day",1582670160,1582711740,0.09,0.0217,0.1433,1582719660,0.09,"rain",25.79,1582690020,13.38,1582759080,25.51,1582690020,13.65,1582759080,13.07,0.72,1019,0.63,1.42,1582729200,288,0.32,8,1582690620,16.093,291.3,12.76,1582666680,25.79,1582690020,13.03,1582666680,25.51,1582690020,"China","Fujian",2020-02-26,NA
1582732800,"Overcast throughout the day.","cloudy",1582756500,1582798140,0.12,0.0082,0.0559,1582732800,0.09,"rain",23.13,1582786080,10.92,1582840500,22.85,1582786080,11.19,1582840500,12.7,0.76,1021.4,1.31,2.67,1582743360,85,0.95,5,1582777500,16.093,286.9,13.38,1582759080,23.13,1582786080,13.65,1582759080,22.85,1582786080,"China","Fujian",2020-02-27,NA
1582819200,"Overcast throughout the day.","cloudy",1582842900,1582884600,0.15,0.0028,0.0093,1582878300,0.05,"rain",24.49,1582872780,13.5,1582926720,24.21,1582872780,13.82,1582926900,12.19,0.76,1018.6,0.71,3.36,1582876320,127,0.94,5,1582863780,16.093,285.4,10.92,1582840500,24.49,1582872780,11.19,1582840500,24.21,1582872780,"China","Fujian",2020-02-28,NA
1582905600,"Mostly cloudy throughout the day.","partly-cloudy-day",1582929240,1582971000,0.18,0.0019,0.0109,1582977360,0.04,"rain",23.92,1582953900,14.19,1583019060,23.64,1582953900,14.74,1583018640,13.73,0.77,1014.3,0.86,4.58,1582951020,218,0.79,5,1582952280,16.093,283.4,13.5,1582926720,23.92,1582953900,13.82,1582926900,23.64,1582953900,"China","Fujian",2020-02-29,NA
1582992000,"Light rain in the morning.","rain",1583015580,1583057460,0.21,0.2692,1.664,1583020860,0.79,"rain",20.34,1583044080,11.12,1583102640,20.06,1583044140,11.39,1583102640,14.29,0.88,1015.9,1.13,3.5,1583050980,314,0.62,5,1583038080,16.093,283.3,12.91,1583074800,20.34,1583044080,13.18,1583074800,20.06,1583044140,"China","Fujian",2020-03-01,NA
1583078400,"Mostly cloudy throughout the day.","partly-cloudy-day",1583101920,1583143860,0.24,0.012,0.0461,1583102940,0.11,"rain",17.97,1583133060,10.78,1583188740,17.69,1583133060,11.05,1583188740,11.58,0.87,1020.4,1.08,2.11,1583143920,56,0.81,5,1583122980,16.093,278,11.12,1583102640,17.97,1583133060,11.39,1583102640,17.69,1583133060,"China","Fujian",2020-03-02,NA
